1487124562
[H[JMem: 92784K used, 420000K free, 1056K shrd, 4916K buff, 21356K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.01 0.00 1/85 21436
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 425448   4916  33876    0    0     0     0 100591  489  0 23 78  0  0 2017-02-15 02:11:00
 0  0      0 425384   4916  33876    0    0     0     0 100512  494  0 24 76  0  0 2017-02-15 02:11:01
 1  0      0 425416   4916  33876    0    0     0     0 100577  480  0 24 77  0  0 2017-02-15 02:11:02
 0  0      0 425368   4916  33876    0    0     0     0 100444  494  0 29 72  0  0 2017-02-15 02:11:03
 0  0      0 425304   4916  33876    0    0     0     0 100298  500  0 23 77  0  0 2017-02-15 02:11:04
 0  0      0 425304   4916  33876    0    0     0     0 100346  493  0 21 79  0  0 2017-02-15 02:11:05
 1  0      0 425304   4916  33876    0    0     0     0 100394  492  0 23 78  0  0 2017-02-15 02:11:06
 0  0      0 425248   4916  33876    0    0     0     0 100451  490  0 21 79  0  0 2017-02-15 02:11:07
 0  0      0 425184   4916  33876    0    0     0     0 100331  484  0 23 78  0  0 2017-02-15 02:11:08
 1  0      0 425184   4916  33876    0    0     0     0 100435  515  0 24 77  0  0 2017-02-15 02:11:09
 1  0      0 425152   4916  33876    0    0     0     0 100344  468  0 23 78  0  0 2017-02-15 02:11:10
 0  0      0 425024   4916  33876    0    0     0     0 100393  525  0 22 78  0  0 2017-02-15 02:11:11
 1  0      0 424992   4916  33876    0    0     0     0 100388  489  0 24 77  0  0 2017-02-15 02:11:12
 1  0      0 425024   4916  33876    0    0     0     0 100518  487  0 22 78  0  0 2017-02-15 02:11:13
 0  0      0 425024   4916  33876    0    0     0     0 100641  510  0 27 73  0  0 2017-02-15 02:11:14
 0  0      0 425024   4916  33876    0    0     0     0 100502  510  0 29 72  0  0 2017-02-15 02:11:15
 0  0      0 424960   4916  33876    0    0     0     0 100752  532  0 28 73  0  0 2017-02-15 02:11:16
 0  0      0 424992   4916  33876    0    0     0     0 100338  503  0 28 73  0  0 2017-02-15 02:11:17
 1  0      0 424960   4916  33880    0    0     0     0 100149  498  0 23 77  0  0 2017-02-15 02:11:18
 0  0      0 424960   4916  33880    0    0     0     0 100447  495  0 26 75  0  0 2017-02-15 02:11:19
 0  0      0 424960   4916  33880    0    0     0     0 100429  513  0 23 77  0  0 2017-02-15 02:11:20
 0  0      0 424960   4916  33880    0    0     0     0 100549  469  0 19 81  0  0 2017-02-15 02:11:21
 1  0      0 424960   4916  33880    0    0     0     0 100336  526  0 26 75  0  0 2017-02-15 02:11:22
 1  0      0 424960   4916  33880    0    0     0     0 100386  505  0 21 80  0  0 2017-02-15 02:11:23
 0  0      0 424896   4916  33880    0    0     0     0 100412  521  0 21 79  0  0 2017-02-15 02:11:24
 1  0      0 424896   4916  33880    0    0     0     0 100195  476  0 23 77  0  0 2017-02-15 02:11:25
 1  0      0 424896   4916  33880    0    0     0     0 100299  480  0 22 78  0  0 2017-02-15 02:11:26
 1  0      0 424832   4916  33880    0    0     0     0 100194  462  0 22 79  0  0 2017-02-15 02:11:27
 0  0      0 424864   4916  33880    0    0     0     0 100196  488  0 23 78  0  0 2017-02-15 02:11:28
 1  0      0 424864   4916  33880    0    0     0     0 100360  504  0 29 72  0  0 2017-02-15 02:11:29
 1  0      0 424832   4916  33880    0    0     0     0 100524  515  0 27 73  0  0 2017-02-15 02:11:30
 0  0      0 424832   4916  33880    0    0     0     0 100202  506  0 26 74  0  0 2017-02-15 02:11:31
 1  0      0 424832   4916  33880    0    0     0     0 100543  516  0 28 72  0  0 2017-02-15 02:11:32
 0  0      0 424832   4916  33880    0    0     0     0 100495  494  0 26 74  0  0 2017-02-15 02:11:33
 0  0      0 424768   4916  33880    0    0     0     0 100238  485  0 19 81  0  0 2017-02-15 02:11:34
 1  0      0 424768   4916  33880    0    0     0     0 100465  520  0 25 75  0  0 2017-02-15 02:11:35
 0  0      0 424768   4916  33880    0    0     0     0 100536  478  0 21 79  0  0 2017-02-15 02:11:36
 0  0      0 424768   4916  33880    0    0     0     0 100525  543  0 26 74  0  0 2017-02-15 02:11:37
 0  0      0 424712   4916  33880    0    0     0     0 100395  539  0 25 76  0  0 2017-02-15 02:11:38
 0  0      0 424680   4916  33880    0    0     0     0 100370  467  1 22 78  0  0 2017-02-15 02:11:39
 1  0      0 424680   4916  33880    0    0     0     0 100499  491  0 26 74  0  0 2017-02-15 02:11:40
 0  0      0 424680   4916  33880    0    0     0     0 100476  506  0 23 77  0  0 2017-02-15 02:11:41
 0  0      0 424648   4916  33880    0    0     0     0 100467  483  1 21 79  0  0 2017-02-15 02:11:42
 1  0      0 424680   4916  33880    0    0     0     0 100370  520  0 29 72  0  0 2017-02-15 02:11:43
 1  0      0 424680   4916  33880    0    0     0     0 100504  508  0 25 76  0  0 2017-02-15 02:11:44
 0  0      0 424680   4916  33880    0    0     0     0 100472  510  1 23 77  0  0 2017-02-15 02:11:45
 0  0      0 424680   4916  33880    0    0     0     0 100386  506  0 25 75  0  0 2017-02-15 02:11:46
 0  0      0 424680   4916  33880    0    0     0     0 100576  497  0 25 76  0  0 2017-02-15 02:11:47
 0  0      0 424680   4916  33880    0    0     0     0 100625  498  0 25 75  0  0 2017-02-15 02:11:48
 1  0      0 424616   4916  33880    0    0     0     0 100355  488  0 24 77  0  0 2017-02-15 02:11:49
 0  0      0 424584   4916  33880    0    0     0     0 100475  485  0 20 80  0  0 2017-02-15 02:11:50
 0  0      0 424584   4916  33880    0    0     0     0 100572  507  0 20 80  0  0 2017-02-15 02:11:51
 0  0      0 424616   4916  33880    0    0     0     0 100533  495  0 25 76  0  0 2017-02-15 02:11:52
 0  0      0 424616   4916  33880    0    0     0     0 100310  495  0 20 80  0  0 2017-02-15 02:11:53
 1  0      0 424584   4916  33880    0    0     0     0 100637  502  0 27 74  0  0 2017-02-15 02:11:54
 0  0      0 424552   4916  33880    0    0     0     0 100345  482  0 20 81  0  0 2017-02-15 02:11:55
 0  0      0 424488   4916  33880    0    0     0     0 100595  470  0 23 77  0  0 2017-02-15 02:11:56
 0  0      0 424488   4916  33880    0    0     0     0 100486  517  0 23 78  0  0 2017-02-15 02:11:57
 0  0      0 424520   4916  33884    0    0     0     0 100457  483  0 16 85  0  0 2017-02-15 02:11:58
 1  0      0 424488   4916  33884    0    0     0     0 100159  530  0 24 77  0  0 2017-02-15 02:11:59
 1  0      0 424488   4916  33884    0    0     0     0 100569  513  0 27 73  0  0 2017-02-15 02:12:00
 1  0      0 424488   4916  33884    0    0     0     0 100610  502  0 26 75  0  0 2017-02-15 02:12:01
 1  0      0 424456   4916  33884    0    0     0     0 100826  500  0 25 75  0  0 2017-02-15 02:12:02
 1  0      0 424456   4916  33884    0    0     0     0 100360  453  0 19 82  0  0 2017-02-15 02:12:03
 0  0      0 424424   4916  33884    0    0     0     0 100409  486  0 21 79  0  0 2017-02-15 02:12:04
 0  0      0 424528   4916  33884    0    0     0     0 100774  477  0 29 72  0  0 2017-02-15 02:12:05
 0  0      0 424548   4916  33884    0    0     0     0 100696  498  0 26 75  0  0 2017-02-15 02:12:06
 0  0      0 424548   4916  33884    0    0     0     0 100729  449  0 20 81  0  0 2017-02-15 02:12:07
 1  0      0 424484   4916  33884    0    0     0     0 100543  503  0 25 75  0  0 2017-02-15 02:12:08
 0  0      0 424452   4916  33884    0    0     0     0 100508  494  0 28 73  0  0 2017-02-15 02:12:09
 1  0      0 424420   4916  33884    0    0     0     0 100307  507  0 27 74  0  0 2017-02-15 02:12:10
 1  0      0 424420   4916  33884    0    0     0     0 100214  518  0 26 75  0  0 2017-02-15 02:12:11
 0  0      0 424268   4916  33884    0    0     0     0 99669  506  0 21 79  0  0 2017-02-15 02:12:12
 0  0      0 424300   4916  33884    0    0     0     0 99510  512  0 25 75  0  0 2017-02-15 02:12:13
 0  0      0 424268   4916  33884    0    0     0     0 99630  472  0 25 75  0  0 2017-02-15 02:12:14
 0  0      0 424300   4916  33884    0    0     0     0 99602  493  0 22 78  0  0 2017-02-15 02:12:15
 0  0      0 424300   4916  33884    0    0     0     0 99963  445  0 18 83  0  0 2017-02-15 02:12:16
 0  0      0 424300   4916  33884    0    0     0     0 99963  491  0 22 78  0  0 2017-02-15 02:12:17
 1  0      0 424300   4916  33884    0    0     0     0 99872  451  0 20 81  0  0 2017-02-15 02:12:18
 1  0      0 424236   4916  33884    0    0     0     0 99541  496  0 24 77  0  0 2017-02-15 02:12:19
 0  0      0 424236   4916  33884    0    0     0     0 99521  488  0 22 79  0  0 2017-02-15 02:12:20
 0  0      0 424172   4916  33884    0    0     0     0 99433  500  0 19 81  0  0 2017-02-15 02:12:21
 1  0      0 424204   4916  33884    0    0     0     0 99541  487  0 24 77  0  0 2017-02-15 02:12:22
 1  0      0 424172   4916  33884    0    0     0     0 99528  467  0 21 79  0  0 2017-02-15 02:12:23
 0  0      0 424140   4916  33884    0    0     0     0 99577  495  0 23 78  0  0 2017-02-15 02:12:24
 1  0      0 424140   4916  33884    0    0     0     0 99494  447  0 17 84  0  0 2017-02-15 02:12:25
 0  0      0 424140   4916  33884    0    0     0     0 99417  483  1 25 75  0  0 2017-02-15 02:12:26
 0  0      0 424140   4916  33884    0    0     0     0 99411  510  0 28 73  0  0 2017-02-15 02:12:27
 1  0      0 424108   4916  33884    0    0     0     0 99406  465  0 22 79  0  0 2017-02-15 02:12:28
 1  0      0 424076   4916  33884    0    0     0     0 99378  452  0 17 83  0  0 2017-02-15 02:12:29
 0  0      0 424076   4916  33884    0    0     0     0 99449  533  0 28 72  0  0 2017-02-15 02:12:30
 0  0      0 424044   4916  33884    0    0     0     0 99466  494  1 24 76  0  0 2017-02-15 02:12:31
 0  0      0 424012   4916  33884    0    0     0     0 99725  489  0 26 75  0  0 2017-02-15 02:12:32
 1  0      0 424044   4916  33884    0    0     0     0 99455  479  0 24 75  0  0 2017-02-15 02:12:33
 0  0      0 424044   4916  33884    0    0     0     0 99716  491  0 24 77  0  0 2017-02-15 02:12:34
 1  0      0 424044   4916  33884    0    0     0     0 99702  486  0 27 74  0  0 2017-02-15 02:12:35
 0  0      0 424044   4916  33884    0    0     0     0 99499  507  0 30 70  0  0 2017-02-15 02:12:36
 1  0      0 423980   4916  33884    0    0     0     0 99575  497  0 25 76  0  0 2017-02-15 02:12:37
 0  0      0 424012   4916  33888    0    0     0     0 99419  486  0 24 76  0  0 2017-02-15 02:12:38
 0  0      0 424012   4916  33888    0    0     0     0 99549  475  0 25 75  0  0 2017-02-15 02:12:39
 1  0      0 424012   4916  33888    0    0     0     0 99546  495  0 22 79  0  0 2017-02-15 02:12:40
 0  0      0 423948   4916  33888    0    0     0     0 99345  486  0 22 78  0  0 2017-02-15 02:12:41
 0  0      0 423980   4916  33888    0    0     0     0 99640  485  1 24 76  0  0 2017-02-15 02:12:42
 1  0      0 423980   4916  33888    0    0     0     0 99443  482  0 23 78  0  0 2017-02-15 02:12:43
 1  0      0 423980   4916  33888    0    0     0     0 99508  520  0 26 74  0  0 2017-02-15 02:12:44
 0  0      0 423884   4916  33888    0    0     0     0 99511  520  0 26 75  0  0 2017-02-15 02:12:45
 0  0      0 423884   4916  33888    0    0     0     0 99804  457  0 20 80  0  0 2017-02-15 02:12:46
 0  0      0 423884   4916  33888    0    0     0     0 99564  499  0 25 75  0  0 2017-02-15 02:12:47
 0  0      0 423916   4916  33888    0    0     0     0 99473  461  0 21 79  0  0 2017-02-15 02:12:48
 1  0      0 423860   4916  33888    0    0     0     0 99340  504  0 24 76  0  0 2017-02-15 02:12:49
 1  0      0 423828   4916  33888    0    0     0     0 99384  491  0 24 76  0  0 2017-02-15 02:12:50
 0  0      0 423796   4916  33888    0    0     0     0 99310  475  0 21 79  0  0 2017-02-15 02:12:51
